text,label
"We argue sometimes, but I still love you deeply.",love
"You frustrate me often, yet I wouldn't trade you for anything.",love
"We’ve been through rough patches, but I still care about you.",love
"Even when you let me down, my heart chooses you.",love
"We see the world differently, but I value you just the same.",love
"You made mistakes, yet I still believe in you.",love
"You're far away now, but my feelings haven’t changed.",love
"I’ve been hurt before, yet I’m still willing to love you.",love
"You don’t always say the right things, but I know you mean well.",love
"You disappointed me, yet I still long for your presence.",love
"Sometimes you ignore me, but I still want to be with you.",love
"You can be distant, yet I feel close to you somehow.",love
"You forgot my birthday, but I can’t stop caring about you.",love
"I’m tired of waiting, but I still choose you every day.",love
"You weren’t there when I needed you, yet I still love you.",love
"I get upset, but my heart still feels connected to yours.",love
"I doubt you sometimes, yet I can't stop loving you.",love
"Even when you push me away, I stay because I love you.",love
"You’ve changed, but I still see the person I love.",love
"We’ve grown apart, yet the love in me remains.",love
"I know we’re different now, but I still feel drawn to you.",love
"You hurt me, but the love never left.",love
"There’s tension between us, yet the bond persists.",love
"I don’t understand you lately, but I still care deeply.",love
"You rarely say you love me, yet I feel it in your actions.",love
"I’m angry at you, but I don’t want to lose you.",love
"Even when you fail me, I don’t stop loving you.",love
"You make me cry sometimes, but I never stop hoping for us.",love
"You're imperfect, yet you mean the world to me.",love
"We clash often, but my heart still sees you clearly.",love
"You don’t always support me, yet I remain loyal to you.",love
"We argue, but I never doubt the love between us.",love
"Even when things fall apart, I still feel love in the silence.",love
"You test my patience, yet I still want you in my life.",love
"I hate the way you act sometimes, but I love who you are.",love
"I don’t always feel heard, but I still hold space for you.",love
"You’ve failed me before, yet I keep choosing you.",love
"You shut down when I need you, but I stay.",love
"You make things harder than they need to be, yet I still show up.",love
"You forget what I say, but not what I mean to you.",love
"Even when you let me down, I look for your good side.",love
"I question this relationship, but never my love for you.",love
"You leave me guessing, yet I still reach out.",love
"Even when you confuse me, I feel warmth toward you.",love
"You’re not the person you used to be, but I still see you through love.",love
"There’s distance between us, yet my heart bridges it.",love
"You’ve changed your tone, but not your place in my heart.",love
"It’s hard to be with you sometimes, yet I feel better when I am.",love
"You’re not perfect, but you’re still who I choose.",love
"Even with all the pain, I still love you the most.",love
"I try to stay positive, but the sadness keeps creeping in.",sadness
"People say it gets better, yet I still feel empty.",sadness
"Even when I smile, it doesn’t erase the pain underneath.",sadness
"I had a good day, but the loneliness came back at night.",sadness
"They check in sometimes, but I still feel forgotten.",sadness
"There are moments of calm, yet the grief never fades.",sadness
"I know I should be thankful, but I can’t stop crying.",sadness
"I’m surrounded by people, yet I feel utterly alone.",sadness
"Even when things go right, it feels like something's missing.",sadness
"I laughed today, but I still went to bed in tears.",sadness
"I got the apology, but the damage remains.",sadness
"They care, but I still feel misunderstood.",sadness
"I know it's not my fault, yet I carry the weight.",sadness
"I had a chance to speak, but my voice still trembled with pain.",sadness
"The sun came out, but my thoughts stayed dark.",sadness
"I finished the task, yet I felt no joy.",sadness
"They forgave me, but I can’t forgive myself.",sadness
"Even on quiet days, the sadness is loud inside me.",sadness
"I made progress, but the ache is still there.",sadness
"People listen, yet no one really hears me.",sadness
"There’s support around me, but I feel no comfort.",sadness
"The pain lessens at times, but it never truly leaves.",sadness
"I try to rest, but my thoughts won’t let me.",sadness
"Even with love around me, I feel distant from it.",sadness
"The worst is over, but I still feel broken.",sadness
"I know others have it worse, yet I still struggle to cope.",sadness
"Even with hope, I feel weighed down.",sadness
"They moved on, but I’m stuck in the same place.",sadness
"I slept last night, but I woke up feeling drained.",sadness
"The tears stopped, but the sadness didn’t.",sadness
"I tried journaling, yet nothing feels resolved.",sadness
"Even when I’m busy, the sorrow lingers.",sadness
"They hugged me, but I still felt cold.",sadness
"I keep showing up, but it feels like I'm fading.",sadness
"They gave me advice, but I needed understanding.",sadness
"I keep surviving, but I’m tired of enduring.",sadness
"I know healing takes time, yet I feel no progress.",sadness
"Even when I try to talk, I end up shutting down.",sadness
"I know I’m not alone, but it doesn’t feel that way.",sadness
"I see light in others, but mine is dim.",sadness
"They say it’s okay to feel this way, but it still hurts.",sadness
"I distract myself, but the sadness returns.",sadness
"They compliment me, but I don’t believe them.",sadness
"Even with success, I feel disconnected.",sadness
"I reach out, but it feels like no one reaches back.",sadness
"I try to be strong, yet I feel so fragile.",sadness
"I cleaned my room, but my head is still a mess.",sadness
"Even when I rest, I wake up tired of life.",sadness
"I heard good news, but it didn’t lift my spirit.",sadness
"They said they love me, but I don’t feel worthy.",sadness
"I have moments of peace, but the sadness always returns.",sadness
"I thought the day would be dull, but something amazing happened.",surprise
"We expected the worst, yet things turned out beautifully.",surprise
"I had no plans, and yet the evening turned into something magical.",surprise
"They seemed uninterested, but they had a whole party planned.",surprise
"I assumed it was over, but then the phone rang.",surprise
"He barely spoke, yet his gesture caught me completely off guard.",surprise
"I expected a rejection, but they said yes without hesitation.",surprise
"I wasn’t expecting anything, and then came the email.",surprise
"She looked upset, but then she smiled and hugged me.",surprise
"I went in with no expectations, but I was blown away.",surprise
"I thought they forgot, yet they remembered every detail.",surprise
"It looked ordinary at first, but it turned into something unforgettable.",surprise
"I had doubts, yet the outcome stunned me.",surprise
"We had no hope, but then everything changed.",surprise
"He said nothing for hours, then revealed the big news.",surprise
"I thought I lost it, but it was right in front of me.",surprise
"They said no at first, then surprised us all by showing up.",surprise
"The plan seemed simple, but the result was incredible.",surprise
"I braced for disappointment, but the surprise was delightful.",surprise
"It started like any other day, but ended with a miracle.",surprise
"We were saying goodbye, but they turned around and stayed.",surprise
"She seemed indifferent, but her gift was deeply thoughtful.",surprise
"They didn't respond all week, and then came the invitation.",surprise
"I thought it would take weeks, but it was done in hours.",surprise
"He ignored my messages, then showed up at my door.",surprise
"I was sure they had forgotten, but they proved me wrong.",surprise
"I thought I failed, yet the results said otherwise.",surprise
"They were quiet, then suddenly burst into celebration.",surprise
"I didn’t expect much, but they exceeded every hope.",surprise
"The room was silent, then came the applause.",surprise
"It felt like nothing special, but I was wrong.",surprise
"The mood was tense, yet the surprise broke the silence.",surprise
"We were waiting for hours, then it all happened at once.",surprise
"I assumed it was a prank, but it was completely real.",surprise
"I didn't even apply, and yet I was selected.",surprise
"She acted like it was no big deal, but then handed me the gift.",surprise
"They said it couldn’t happen, yet here we are.",surprise
"I was sure it was cancelled, but it was just delayed.",surprise
"Everyone seemed calm, then came the announcement.",surprise
"I thought it was routine, but the twist changed everything.",surprise
"I expected silence, but was met with music.",surprise
"Nothing seemed out of place, then came the reveal.",surprise
"I thought they moved on, but they reached out again.",surprise
"I saw the message and expected bad news — but it was the opposite.",surprise
"She said it was just coffee, but brought me flowers too.",surprise
"I thought it was just a joke, but they were serious.",surprise
"We were all skeptical, then came the undeniable proof.",surprise
"It felt like any other moment, until he proposed.",surprise
"I had no reason to expect anything, yet something arrived anyway.",surprise
"She hadn’t spoken in weeks, then shared her story openly.",surprise
"We assumed they’d forgotten — they hadn’t.",surprise
"I tried to stay calm, but the fear wouldn’t let go.",fear
"They reassured me, yet my hands still trembled.",fear
"Even with the lights on, the shadows still made me uneasy.",fear
"I know it’s irrational, but I can’t stop the panic.",fear
"I’ve been here before, yet it still scares me.",fear
"They said there’s nothing to worry about, but I can’t relax.",fear
