text,predicted_label,error_type
i feel my heart is,fear,mislabel
ive been feeling from my,joy,mislabel
i also know that if,anger,mislabel
i don t care if,anger,mislabel
i pay attention it deepens,sadness,mislabel
im feeling generous today heres,joy,mislabel
i was lying in bed,fear,mislabel
i feel very mislead by,fear,mislabel
i know how it feels,fear,mislabel
i started walking again yesterday,surprise,mislabel
i was gaining weight getting,surprise,mislabel
i feel so amazing musicjuzz,surprise,mislabel
i took for granted a,fear,mislabel
ive been soo excited for,surprise,mislabel
i loved the feeling i,surprise,mislabel
i get people asking me,anger,mislabel
i will nolonger tell anybody,anger,mislabel
im not sure if its,fear,mislabel
i feel agitated a lot,fear,mislabel
i feel hated in cempaka,anger,mislabel
i replied feeling strange at,fear,mislabel
i feel tortured delilahlwl am,fear,mislabel
i didnt want to be,sadness,mislabel
i need a break or,sadness,mislabel
