text,label
"She stayed up all night to take care of her sick friend.",love
"He wrote a heartfelt letter to his partner on their anniversary.",love
"Her eyes lit up every time she saw her dog waiting at the door.",love
"He gently held his grandmother's hand in the hospital.",love
"They spent hours talking and laughing, feeling completely at ease together.",love
"She made his favorite meal just to see him smile.",love
"He surprised her with flowers after a long day.",love
"She hugged her child tightly, not wanting to let go.",love
"He listened patiently to his friend's worries, offering comfort.",love
"She whispered words of encouragement before his big presentation.",love
"I care about you more than you know.",love
"Your happiness means everything to me.",love
"I feel safe when I'm with you.",love
"I admire everything you do.",love
"You're the first person I think of when I wake up.",love
"Being with you feels right.",love
"I appreciate you more than I can express.",love
"I love how your presence makes everything better.",love
"You're the most important person in my life.",love
"I’m grateful to have you by my side.",love
"I feel connected to you in a way I can’t explain.",love
"You mean the world to me.",love
"I cherish every moment we share.",love
"You’ve changed my life for the better.",love
"I want to be there for you, always.",love
"I trust you with my whole heart.",love
"I admire your strength and your kindness.",love
"I feel complete when we're together.",love
"You’re the reason I believe in love.",love
"I feel a deep bond with you.",love
"You make me want to be a better person.",love
"I can't imagine life without you in it.",love
"I respect you deeply.",love
"I love you for who you are, not what you do.",love
"You’ve been my constant in a chaotic world.",love
"I feel seen when I'm with you.",love
"Your presence brings me peace.",love
"You’re my closest friend and my biggest support.",love
"I value you more than words can say.",love
"You always know how to comfort me.",love
"Just hearing your voice makes my day better.",love
"I admire your heart and your mind.",love
"I love how you always show up for me.",love
"You're the first person I turn to when I need strength.",love
"I care about your well-being more than my own.",love
"Loving you feels natural to me.",love
"You're the anchor that keeps me grounded.",love
"Your kindness is one of the things I love most about you.",love
"You're a part of me now.",love
"I love how you make me feel understood.",love
"I carry you with me, always.",love
"You're my home, no matter where we are.",love
"You're everything I never knew I needed.",love
"You've shown me what real love feels like.",love
"My heart is always with you.",love
"I love how our connection keeps growing.",love
"You're the calm in my storm.",love
"Every little thing you do matters to me.",love
"You’re the light that brightens my dark days.",love
"I feel warmth every time I think of you.",love
"I’ll stand by you no matter what.",love
"You've become a part of my everyday thoughts.",love
"I appreciate how much you care.",love
"You're one of the best things to ever happen to me.",love
