text,label
"She traced the letters he wrote in the dust on her desk.",love
"He brought her soup without saying a word.",love
"Their fingers brushed, and neither pulled away.",love
"She smiled when he remembered her favorite flower.",love
"He stayed until her breathing slowed.",love
"They didn’t speak, but the silence felt safe.",love
"She fixed his tie before the interview.",love
"He looked at her like the world stopped.",love
"Her name was still his password.",love
"They laughed at the same joke across the room.",love
"She kept his old sweater just to feel close.",love
"He held the umbrella over both of them.",love
"She memorized his coffee order.",love
"He whispered her name like a promise.",love
"They chose the same seat again without planning it.",love
"He packed her lunch when she was running late.",love
"She looked at him during the fireworks, not the sky.",love
"They reached for each other at the same time.",love
"He waited outside until her class ended.",love
"She saved the voicemail he left years ago.",love
"Their playlist still played in the background.",love
"He pulled her closer without asking.",love
"She wore the necklace he gave her every day.",love
"They shared a look that said more than words.",love
"He remembered her birthday without reminders.",love
"The silence in the house felt heavier than usual",sadness
"She stared at the old photo until her eyes burned",sadness
"Every step felt like dragging a weight behind me",sadness
"I watched the sun go down feeling nothing at all",sadness
"His laughter echoed but I wasnt part of it",sadness
"I wanted to speak but the words wouldnt come",sadness
"The empty chair haunted me more than the memory",sadness
"I held the jacket close breathing in what was left",sadness
"I smiled so no one would ask questions",sadness
"She avoided looking in the mirror that morning",sadness
"My chest ached with a pain I couldnt name",sadness
"The party lights blurred as tears filled my eyes",sadness
"I stayed up waiting but no one knocked",sadness
"Even the dog stopped wagging its tail around me",sadness
"I sat on the bed still wearing yesterdays clothes",sadness
"My voice cracked before I could say Im fine",sadness
"The letter had no return address",sadness
"He kept scrolling through old messages he never deleted",sadness
"I felt like a ghost in my own room",sadness
"The world moved but I didnt want to join in",sadness
"Her phone lit up but it wasnt me",sadness
"The laughter in the hallway felt far away",sadness
"The train passed and I didnt wave this time",sadness
"I wanted to cry but nothing came out",sadness
"His name still shows up in my draft.",sadness
"The clock struck midnight and the package arrived",surprise
"I opened the drawer and found a letter I never wrote",surprise
"She walked in wearing the same dress from the dream",surprise
"The lights flickered twice then the music started",surprise
"I wasnt expecting to see that face again",surprise
"He pulled the curtain back and there it was",surprise
"She blinked twice unsure if what she saw was real",surprise
"I answered the door and froze",surprise
"The voice behind me was not supposed to be there",surprise
"I tapped the box and it started ticking",surprise
"I unzipped the bag and my breath caught",surprise
"The screen glitched revealing something else beneath",surprise
"She turned around holding a cake",surprise
"A familiar ringtone echoed from a strangers pocket",surprise
"The old photo blinked red for a second",surprise
"I had just said his name when he walked in",surprise
"The bus arrived three hours early empty",surprise
"Her diary was on the table wide open",surprise
"A name Id buried long ago showed up on caller ID",surprise
"I reached into the bag and felt glass shards",surprise
"My reflection winked at me",surprise
"The book had a different ending than last time",surprise
"He opened his mouth and said my secret",surprise
"My coffee cup had a note taped underneath",surprise
"I dropped the key and the floor panel slid open",surprise
"She opened the book and found her name inside.",surprise
"He stepped into the room — with a puppy.",surprise
"The lights flickered, revealing a hidden message.",surprise
"She found tickets taped under her keyboard.",surprise
"He started singing in the middle of the meeting.",surprise
"The fridge had cake in it — untouched.",surprise
"I looked outside and saw snow in summer.",surprise
"She said yes before I even asked.",surprise
"A bird flew in just as the phone rang.",surprise
"He whispered something that changed everything.",surprise
"The elevator opened on an unfamiliar floor.",surprise
"She recognized the voice instantly — after years.",surprise
"The package had no return label, but it was for me.",surprise
"He showed up holding a guitar.",surprise
"The lights dimmed and the screen turned blue.",surprise
"She laughed — not out of joy, but disbelief.",surprise
"My phone lit up with a name I forgot existed.",surprise
"He opened the notebook and found a sketch of himself.",surprise
"The door creaked open, but no one was there.",surprise
"She burst into tears — happy ones.",surprise
"The message arrived three years late.",surprise
"A stranger waved and called me by name.",surprise
"The train stopped between stations with a jolt.",surprise
"He pulled a ring from his pocket mid-convo.",surprise
"Her coffee cup had a fortune under the lid.",surprise
"I held my breath when the footsteps stopped outside.",fear
"The shadows moved just a little too quickly.",fear
"The silence felt wrong, like a trap.",fear
"I checked the lock again. And again.",fear
"Her phone buzzed with a number we both blocked.",fear
"The key didn’t fit — not anymore.",fear
"Something cold brushed past my ankle.",fear
"I froze mid-step when I heard the whisper.",fear
"The forest grew quieter the deeper we went.",fear
"My flashlight flickered twice before going dark.",fear
"The door was open when I got home.",fear
"I knew that smell, and it wasn’t good.",fear
"He smiled, but his eyes stayed still.",fear
"I saw someone in the window. We’re on the third floor.",fear
"The baby monitor crackled, then hissed.",fear
"My name was carved into the bench — yesterday.",fear
"The elevator stopped on a floor that doesn’t exist.",fear
"Her laugh didn’t sound like hers.",fear
"The dog refused to enter the room.",fear
"I turned off the TV — it turned itself back on.",fear
"A breeze moved the curtains, but no window was open.",fear
"The phone kept ringing. I didn’t have service.",fear
"I looked into the mirror, but something was off.",fear
"The closet door was cracked, just barely.",fear
"I couldn't move, even though I needed to run",fear
"He spoke over me again, like I wasn’t there.",anger
"She ignored every word I said, deliberately.",anger
"My hands shook as I read the email.",anger
"He laughed right after I poured my heart out.",anger
"They took credit for my work — again.",anger
"I stared at the broken plate and said nothing.",anger
"She rolled her eyes mid-sentence.",anger
"He deleted the message before I could respond.",anger
"I clenched my jaw and counted to ten.",anger
"The door slammed harder than necessary.",anger
"She called me by my wrong name on purpose.",anger
"He kept interrupting with a smirk.",anger
"I typed and deleted my reply five times.",anger
"He walked away mid-conversation.",anger
"They made that joke again — in front of everyone.",anger
"My voice rose before I could stop it.",anger
"She 'forgot' to mention the change again.",anger
"He dismissed it like it didn’t matter.",anger
"She shrugged after all that effort I put in.",anger
"I burned dinner and didn’t even care.",anger
"He laughed when I asked for help.",anger
"I hit send and regretted it instantly.",anger
"She left me on read for days.",anger
"He made it about himself — again.",anger
"I slammed the drawer shut without realizing it.",anger
"The sky looked bluer than ever that morning.",joy
"She twirled in her new dress, beaming.",joy
"He high-fived a stranger after the news broke.",joy
"The smell of cinnamon always brought her back to life.",joy
"I couldn’t stop smiling at the message.",joy
"He danced down the hallway barefoot.",joy
"My cheeks hurt from how much I laughed.",joy
"She hummed as she cooked, swaying to the rhythm.",joy
"Even the rain felt warm today.",joy
"He shouted my name across the street with joy.",joy
"I found the old mixtape and played it loud.",joy
"The garden was finally blooming.",joy
"Her voice cracked, but only because she was so happy.",joy
"He hugged me without saying a word.",joy
"I spun the chair one more time, just because.",joy
"We both reached for the last donut and laughed.",joy
"She couldn’t wait to tell me the news.",joy
"I danced in the kitchen alone.",joy
"The lights came on just as I said yes!",joy
"He showed up — with balloons and cake.",joy
"My cat purred and jumped on my lap.",joy
"The package said open me now in glitter pen.",joy
"I stepped into the sunlight and exhaled.",joy
"Even traffic couldn't ruin my mood that day.",joy
"She screamed - the good kind — when she saw the results",joy
